BR 177.182.104.228: Belo Horizonte, 15, BR
BR 200.17.32.215: São Luís Do Curu, 06, BR
BR 201.22.95.52: Maringá, 18, BR
CA 198.48.137.240: Edmonton, AB, CA
CH 5.144.9.33: Lengnau, 05, CH
CN 112.101.169.224: Harbin, 08, CN
CN 112.85.42.102: Nanjing, 04, CN
CN 112.85.42.103: Nanjing, 04, CN
CN 112.85.42.99: Nanjing, 04, CN
CN 113.120.255.4: Jinan, 25, CN
CN 113.122.7.65: Jinan, 25, CN
CN 114.84.2.235: Shanghai, 23, CN
CN 116.31.116.15: Guangzhou, 30, CN
CN 116.31.116.44: Guangzhou, 30, CN
CN 116.31.116.48: Guangzhou, 30, CN
CN 118.192.177.68: Shenzhen, 30, CN
CN 118.193.233.62: Shanghai, 23, CN
CN 119.249.54.71: Hebei, 10, CN
CN 121.18.238.104: Hebei, 10, CN
CN 121.18.238.109: Hebei, 10, CN
CN 121.18.238.114: Hebei, 10, CN
CN 121.18.238.98: Hebei, 10, CN
CN 121.30.172.173: unknown, unknown, CN
CN 122.194.229.39: Nanjing, 04, CN
CN 122.230.228.1: Huzhou, 02, CN
CN 123.183.209.132: Hebei, 10, CN
CN 123.183.209.138: Hebei, 10, CN
CN 124.135.144.109: Jinan, 25, CN
CN 153.99.182.20: Nanjing, 04, CN
CN 153.99.182.21: Nanjing, 04, CN
CN 153.99.182.27: Nanjing, 04, CN
CN 180.164.59.2: Shanghai, 23, CN
CN 180.173.155.48: Shanghai, 23, CN
CN 182.18.42.169: Beijing, 22, CN
CN 182.45.57.222: Jinan, 25, CN
CN 218.3.140.74: Nanjing, 04, CN
CN 218.65.30.126: Nanchang, 03, CN
CN 218.65.30.238: Nanchang, 03, CN
CN 218.65.30.61: Nanchang, 03, CN
CN 218.87.109.150: Shanghai, 23, CN
CN 221.194.44.195: Hebei, 10, CN
CN 221.194.44.219: Hebei, 10, CN
CN 221.194.44.221: Hebei, 10, CN
CN 221.194.44.224: Hebei, 10, CN
CN 221.194.44.231: Hebei, 10, CN
CN 221.194.47.208: Hebei, 10, CN
CN 221.194.47.224: Hebei, 10, CN
CN 221.194.47.249: Hebei, 10, CN
CN 221.229.162.204: Nanjing, 04, CN
CN 223.99.60.49: unknown, 25, CN
CN 39.67.88.48: Jinan, 25, CN
CN 42.159.30.88: Beijing, 22, CN
CN 58.218.199.133: Nanjing, 04, CN
CN 58.218.199.134: Nanjing, 04, CN
DE 62.154.164.12: Gronau, 07, DE
DE 94.219.226.75: Kaufungen, 05, DE
DK 85.184.171.2: Odder, 18, DK
ES 79.145.11.150: Illescas, 54, ES
FR 193.248.171.175: unknown, unknown, FR
FR 193.248.44.153: Paris, A8, FR
FR 88.136.37.99: unknown, unknown, FR
GB 81.107.149.236: Bexley, A6, GB
GB 82.163.125.70: London, H9, GB
GB 92.236.99.7: South Norwood, C8, GB
HK 221.127.192.104: Tung Chung, 00, HK
ID 61.5.72.239: Jakarta, 04, ID
IN 182.71.196.52: unknown, unknown, IN
IT 82.85.187.101: unknown, unknown, IT
IT 89.97.55.33: Naples, 04, IT
JP 118.241.161.88: Tokyo, 40, JP
JP 153.168.122.104: unknown, unknown, JP
KR 210.217.150.156: unknown, unknown, KR
MX 187.141.151.198: unknown, unknown, MX
MX 189.180.197.50: Querétaro, 22, MX
MY 202.188.22.102: Kuala Lumpur, 14, MY
NL 5.45.70.73: unknown, unknown, NL
PK 203.82.49.79: unknown, unknown, PK
RU 79.165.251.116: Odintsovo, 47, RU
RU 80.242.71.53: Novosibirsk, 53, RU
SA 37.106.28.162: Riyadh, 10, SA
SE 185.154.110.239: unknown, unknown, SE
SI 93.103.145.119: Koper, 50, SI
SK 95.105.228.32: Bratislava, 02, SK
TW 118.163.216.103: unknown, unknown, TW
TW 220.130.201.19: Taipei, 03, TW
TW 36.228.189.212: Taipei, 03, TW
UA 193.201.224.237: unknown, unknown, UA
UA 193.201.225.171: unknown, unknown, UA
UA 193.201.225.186: unknown, unknown, UA
UA 193.201.225.90: unknown, unknown, UA
US 128.114.163.161: Santa Cruz, CA, US
US 204.98.75.234: Golden, CO, US
US 98.235.105.235: Lancaster, PA, US
VN 123.31.41.225: Hanoi, 44, VN
ZA 154.0.164.134: unknown, unknown, ZA
